ESTADO,GOVERNADOR,GÊNERO,PARTIDO,VICE,GÊNERO,PARTIDO,ENFOQUE,SECRETARIAS,SECRETÁRIOS,GÊNERO,PARTIDO,PROFISSÃO,INVESTIMENTO,DESPESAS,TOTAL,%TOTAL,ESCOLHA
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Governo,Articulação,Márcio Jerry,M,PCdoB,Jornalista,2.963.204,,27.987.354.145,"0,01058765321",Política
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Governo,Casa Civil,Marcelo Tavares,M,PSB,Advogado ,54.220.507,,27.987.354.145,"0,1937321646",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Infraestrutura,Cidades,Flávia Alexandrina Coelho,F,Não,Contadora,85.776.467,,27.987.354.145,"0,3064829442",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Ciência,Ubirajara do Pindaré Almeida Sousa,M,PSB,Advogado ,512.535.776,,27.987.354.145,"1,831312004",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Governo,Comunicação,Robson Paz,M,Não,Radialista,49.225.034,,27.987.354.145,"0,1758831283",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Cultura,Ester Marques,F,Não,Professora,86.983.075,,27.987.354.145,"0,3107942057",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Desenvolvimento Social,Neto Evangelista,M,DEM,Advogado ,160.573.907,,27.987.354.145,"0,5737373607",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Direitos Humanos,Francisco Gonçalves,M,Não,Professor,142.971.377,13.791.132.690,27.987.354.145,"0,5108427766",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 01,Educação,Áurea Prazeres,F,Não,Professora,1.833.632.238,,27.987.354.145,"6,551645534",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Esporte,Márcio Jardim,M,PT,Professor,24.225.917,,27.987.354.145,"0,086560226",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Economia,Fazenda,Marcellus Ribeiro Alves,M,Não,Economista,226.062.955,9.897.995.990,27.987.354.145,"0,8077324989",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Governo,Gestão Administrativa,Felipe Camarão,M,Não,Procurador Federal,753.340.253,24,27.987.354.145,"2,691716584",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Igualdade Racial,Gerson Pinheiro,M,PCdoB,Geógrafo,,,27.987.354.145,0,Política
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Economia,Indústria,Simplício Araújo,M,SD,Empresário,62.588.794,,27.987.354.145,"0,223632408",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Infraestrutura,Infraestrutura,Clayton Noleto,M,PCdoB,Administrador,1.379.029.905,,27.987.354.145,"4,927332172",Política
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Juventude,Tatiana Pereira,F,PCdoB,,,,27.987.354.145,0,Política
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Infraestrutura,Meio ambiente,Marcelo Coelho,M,PSB,,45.789.010,,27.987.354.145,"0,1636060692",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Infraestrutura,Minas e Energia,José Reinaldo Tavares,M,PSB,Engenheiro Civil,1.537.023,,27.987.354.145,"0,005491848183",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Mulher,Laurinda Pinto,F,Não,Pedagoga,3.785.987,,27.987.354.145,"0,01352749167",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Governo,Planejamento,Cinthia Mota Lima,F,Não,Contadora,352.287.013,,27.987.354.145,"1,258736396",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 01,Saúde,Marcos Pacheco,M,Não,Médico,1.853.466.591,,27.987.354.145,"6,622514516",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 01,Segurança Pública,Jefferson Portela,M,PCdoB,Delegado,1.046.244.417,,27.987.354.145,"3,73827555",Política
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Economia,Trabalho,Julião Amin,M,PDT,Advogado ,15.034.310,,27.987.354.145,"0,05371822546",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Governo,Transparência,Rodrigo Lago,M,Não,Advogado ,,,27.987.354.145,0,Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Social - 02,Turismo,Delma Andrade,F,Não,Antropóloga,5.837.796,,27.987.354.145,"0,020858692",Técnica
MA,Flávio Dino,M,PCdoB,Carlos Brandão,M,PSDB,Infraestrutura,Transporte,José Artur Cabral Marques,M,Não,Engenheiro Elétrico,,,27.987.354.145,0,Técnica
PB,Ricardo Coutinho,M,PSB,Lígia Feliciano,F,PDT,Social - 01,Educação,Aléssio Trindade de Barros,M,Não,Professor,2.304.794.907,,21.054.518.466,"10,94679468",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Social - 01,Saúde,Roberta Abath,F,Não,Médica,1.279.053.115,,21.054.518.466,"6,074957815",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Governo,Articulação Municipal,Waldson Dias de Souza,M,PSB,Dentista,2.471.000,,21.054.518.466,"0,01173619812",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Governo,Casa Militar,Anderson Pessoa,M,Não,Tenente-Coronel,4.377.648,,21.054.518.466,"0,02079196448",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Social - 02,Cultura,Lau Siqueira,M,PSB,Poeta,13.641.287,11.259.452.733,21.054.518.466,"0,06479030628",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Economia,Agricultura,Rômulo Montenegro,M,PSB,,47.706.890,,21.054.518.466,"0,2265874191",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Governo,Planejamento,Tárcio Pessoa,M,PSB,,47.124.024,,21.054.518.466,"0,2238190537",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Social - 02,Mulher,Gilberta Soares,F,Não,Psicóloga,2.186.000,,21.054.518.466,"0,01038256944",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Social - 02,Turismo,Ruth Avelino,F,Não,Jornalista,47.124.024,5.192.997.256,21.054.518.466,"0,2238190537",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Governo,Governadoria,Efraim Morais,M,DEM,Engenheiro Civil,25.239.000,16,21.054.518.466,"0,119874506",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Infraestrutura,Infraestrutura,Aparecida Machado,F,Não,Administradora,501.600.000,,21.054.518.466,"2,382386474",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Governo,Comunicação,Luis Torres,M,Não,Jornalista,23.318.000,,21.054.518.466,"0,1107505737",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Infraestrutura,Infraestrutura,João Azevedo,M,PSB,Engenheiro Civil,501.600.000,,21.054.518.466,"2,382386474",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Social - 02,Desenvolvimento Social,Cida Ramos,F,PSB,Assistente Social,,,21.054.518.466,0,Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Governo,Casa Civil,Lea Silva,F,DEM,,11.479.000,,21.054.518.466,"0,0545203635",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Governo,Desenvolvimento Humano,Ana Claúdia Vital do Rego,F,PTN,Advogada,369.566.361,,21.054.518.466,"1,755282894",Técnica
PB,Ricardo Coutinho,M,PMDB,Lígia Feliciano,F,PDT,Social - 02,Segurança Alimentar,Ana Paula Almeida,F,PSB,Cientista Social,11.716.000,,21.054.518.466,"0,05564601261",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Governo,Administração,Milton Coelho,M,PSB,Advogado,707.628.300,,33.618.176.300,"2,104897939",Política
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Economia,Agricultura,Nilton Mota,M,PSB,Servidor Público,664.131.500,,33.618.176.300,"1,975513169",Política
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Governo,Casa Civil,Antônio Figueira,M,PSB,,87.252.700,,33.618.176.300,"0,2595402535",Política
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Infraestrutura,Cidades,André de Paula,M,PSD,Advogado,917.150.700,,33.618.176.300,"2,728139361",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 02,Ciência,Lúcia Melo,F,Não,Engenheira Química,372.956.600,,33.618.176.300,"1,109389744",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 02,Cultura,Marcelino Granja,M,PCdoB,,82.795.500,,33.618.176.300,"0,2462819496",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 01,Segurança Pública,Alessandro Carvalho,M,Não,Delegado,288.970.600,,33.618.176.300,"0,8595665554",Técnica
